activity_name,average_heart_rate,total_time_seconds,total_distance_km
Afternoon Weight Training,105.5,3813,0.0
Course à pied dans l'après-midi,151.4,1791,5.602
Trail le matin,150.1,6764,15.03
Course à pied en soirée,133.4,1966,4.7308
Entraînement aux poids dans l'après-midi,109.7,1705,0.0
Evening Run,157.1,1968,6.7095
Afternoon Weight Training,112.0,3553,0.0
Course à pied dans l'après-midi,148.1,4198,6.6603
Entraînement aux poids le matin,105.5,4680,0.0
Course à pied dans l'après-midi,159.3,3217,10.0411
Natation dans l'après-midi,111.3,2598,1.05
Natation dans l'après-midi,109.0,1614,0.5
Entraînement aux poids le matin,101.7,3366,0.0
Course à pied dans l'après-midi,157.0,1307,4.651
Marathon de Toulouse 2024 !,154.3,13653,42.5585
W12 S1,131.5,1585,4.1202
W11 S4,152.3,2335,6.9541
W11 S3,133.0,1645,3.898
W11 S2,159.6,3316,11.2847
W11 S1,138.0,2705,7.137
W10 S4,155.4,5199,16.1206
W10 S3,141.6,2259,5.1668
W10 S2,147.6,3841,12.3315
W10 S1,138.2,3001,8.2315
W9 S4,151.9,10439,28.009
W9 S3,144.2,2851,8.5105
Evening Swim,119.7,2737,1.4
W9 S2,135.9,4506,12.951
Course à pied dans l'après-midi,147.0,3382,10.0205
W9 S1,158.4,4009,13.5127
